item_number,exam_type,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,option_e,option_f
7,Exam A,7,A company wants to manage Amazon Machine Images (AMIs). The company currently copies AMIs to the same AWS Region where the AMIs were created. The company needs to design an application that captures AWS API calls and sends alerts whenever the Amazon EC2 CreateImage API operation is called within the company's account. Which solution will meet these requirements with the LEAST operational overhead?,Configure an Amazon Simple Queue Service (Amazon SQS) FIFO queue as a target for AWS CloudTrail logs. Create an AWS Lambda function to send an-alert to an Amazon Simple Notification Service (Amazon SNS) topic when a CreateImage API call is detected.,Create an AWS Lambda function to query AWS CloudTrail logs and to send an alert when a CreateImage API call is detected.,Create an Amazon EventBridge (Amazon CloudWatch Events) rule for the CreateImage API call. Configure the target as an Amazon Simple Notification Service (Amazon SNS) topic to send an alert when a CreateImage API call is detected.,Configure AWS CloudTrail with an Amazon Simple Notification Service (Amazon SNS) notification that occurs when updated logs are sent to Amazon S3. Use Amazon Athena to create a new table and to. query on CreateImage when an API call is detected.,C,,
8,Exam A,8,A company is building a solution that will report Amazon EC2 Auto Scaling events across all the applications in an AWS account. The company needs to use a serverless solution to store the EC2 Auto Scaling status data in Amazon S3. The company then will use the data in Amazon S3 to provide near-real-time updates in a dashboard. The solution must not affect the speed of EC2 instance launches. How should the company move the data to Amazon S3 to meet these requirements?,Use a bootstrap script during the launch of an EC2 instance to install Amazon.Kinesis Agent. Configure Kinesis Agent to collect the EC2 Auto Scaling status data and send the data to Amazon Kinesis Data Firehose. Store the data in Amazon S3.,Create an Amazon EventBridge (Amazon CloudWatch Events) rule to invoke an AWS Lambda function on a schedule. Configure the Lambda function to send the EC2 Auto Scaling status data directly to Amazon S3.,Use an Amazon CloudWatch metric stream to send the EC2Auto Scaling status data to Amazon Kinesis Data,Launch an Amazon EMR cluster to collect the EC2 Auto Scaling status data and send the data to Amazon Kinesis Data Firehose. Store the data in Amazon S3.,C,,
9,Exam A,9,A gaming company has a web application that displays scores. The application runs on Amazon EC2 instances behind an Application Load Balancer. The application stores data in an Amazon RDS for MySQL database. Users are starting to experience long delays and interruptions that are caused by database read performance. The company wants to improve the user experience while minimizing changes to the application's architecture. What should a solutions architect do to meet these requirements?,Migrate the application from EC2 instances to AWS Lambda.,Migrate the database from Amazon RDS for MySQL to Amazon DynamoDB.,Use Amazon ElastiCache in front of the database.,Use RDS Proxy between the application and the database.,C,,
10,Exam A,10,A media company collects and analyzes user activity data on premises. The company wants to migrate this capability to AWS. The user activity data store will continue to grow and will be petabytes in size. The company needs to build a highly available data ingestion solution that facilitates on-demand analytics of existing data and new data with SQL. Which solution will meet these requirements with the LEAST operational overhead?,Create an ingestion service on Amazon EC2. instances that are spread across multiple Availability Zones. Configure the service to forward data to an Amazon RDS Multi-AZ database.,Place activity data in an Amazon S3 bucket: Configure Amazon S3 to run an AWS Lambda function on the data as the data arrives in the S3 bucket.,Send activity data to an Amazon Kinesis data stream. Configure the stream to deliver the data to an Amazon S3 bucket.,Send activity data to an Amazon Kinesis Data Firehose delivery stream. Configure the stream to deliver the data to an Amazon Redshift cluster.,D,,
11,Exam A,11,A company is using a content management system that runs on a single Amazon EC2 instance. The EC2 instance contains both the web server and the database software. The company must make its website platform highly available and must enable the website to scale to meet user demand. What should a solutions architect recommend to meet these requirements?,Move the database to Amazon Aurora with a-read replica in another Availability Zone. Create an Amazon Machine Image (AMI) from the EC2 instance. Configure an Application Load Balancer in two Availability Zones Attach an Auto Scaling group that uses the AMI across two Availability Zones,"Move the database to a separate EC2 instance, and schedule backups to Amazon S3. Create an Amazon Machine Image (AMI) from the original EC2 instance. Configure an Application Load Balancer in two Availability Zones Attach an Auto Scaling group that uses the AMI across two Availability Zones","Migrate the database to an Amazon Aurora instance with a read replica in the same Availability Zone as the existing EC2 instance Manually launch another EC2 instance in the same Availability Zone. Configure an Application Load Balancer, and set the two EC2 instance as targets.","Move the database to Amazon RDS, and enable automatic backups. Manually launch another EC2 instance in the same Availability Zone. Configure an Application Load Balancer in the Availability Zone, and set the two instances as targets:",A,,
12,Exam A,12,A company has a popular gaming platform running on AWS. The application is sensitive to latency because latency can impact the user experience and introduce unfair advantages to some players. The application is deployed in every AWS Region. If runs on Amazon EC2 instances that are part of Auto Scaling groups configured behind. Application Load Balancers(ALBs) A solutions architect need to implement a mechanism to monitor the health of the application and redirect traffic to healthy endpoints. Which solution meets these requirements?,Create an Amazon CloudFront distribution and specify the ALB as the origin server. Configure the cache behavior to use origin cache headers. Use AWNS Lambda functions to optimize the traffic,Configure an Amazon DynamoDB database to sever as the data store for the application. Create a DynamoDB Accelerator (DAX)cluster to act as the n-memory cache for DynamoDB hosting the application data,"Configure an accelerator in AWS Global Accelerator. Add a listener for the port that the application listens on, and attach it to a Regional endpoint in each Region. Add the ALB as the endpoint","Create an Amazon CloudFront distribution and specify Amazon S3 as the origin server Configure the cache behavior to use origin cache headers, Use ANS Lambda functions to optimize the traffic",C,,
13,Exam A,13,"A company needs to retain its AWS CloudTrail logs for 3 years. The company is enforcing CloudTrail across a set of AWS accounts by using AWS Organizations from the parent account. The CloudTrail target S3 bucket is configured with S3 Versioning enabled. An S3 Lifecycle policy is in place to delete current objects after 3 years. After the fourth year of use of the S3 bucket, the S3 bucket metrics show that the number of objects has continued to rise. However, the number of new CloudTrail logs that are delivered to the S3 bucket has remained consistent. Which solution will delete objects that are older than 3 years in the MOST cost- effective manner?",Configure the parent account as the owner of all objects that are delivered to the S3 bucket.,Configure the organization's centralized CloudTrail trail to expire objects after 3 years.,Create an AWS Lambda function to enumerate and delete objects from Amazon S3 that are older than 3 years.,Configure the S3 Lifecycle policy to delete previous versions as well as current versions.,D,,
14,Exam A,14,"A company is running a multi-tier ecommerce web application in the AWS Cloud. The application runs on Amazon EC2 instances with an Amazon RDS for MySQL Multi-AZ DB instance. Amazon RDS is configured with the latest generation DB instance with 2,000 GB of storage in a General Purpose SSD (gp3) Amazon Elastic Block Store (Amazon EBS) volume. The database performance affects the application during periods of high demand. A database administrator analyzes the logs in Amazon CloudWatch Logs and discovers that the application performance always degrades when the number of read and write IOPS is higher than 20,000. What should a solutions architect do to improve the application performance?",Replace the volume with a magnetic volume.,"Replace the 2,000 GB gp3 volume with two 1,000 GB gp3 volumes.",Increase the number of IOPS on the gp3 volume.,Replace the volume with a Provisioned IOPS SSD (io2) volume.,D,,
15,Exam A,15,"A company has a web application with sporadic usage patterns. There is heavy usage at the beginning of each month, moderate usage at the start of each week, and unpredictable usage during the week. The application consists of a web server and a MySQL database server running inside the data center. The company would like to move the application to the AWS Cloud, and needs to select a cost-effective database platform that will not require database modifications. Which solution will meet these requirements?",MySQL-compatible Amazon Aurora Serverless : ;,Amazon RDS for MySQL,Amazon DynamoDB,MySQL deployed on Amazon EC2 in an Auto Scaling group,A,,
16,Exam A,16,A hospital needs to store patient records in an Amazon S3 bucket. The hospital's compliance team must ensure that all protected health information (PHI) is encrypted in transit and at rest. The compliance team must administer the encryption key for data at rest. Which solution will meet these requirements?,Use the aws:SecureTransport condition on S3 bucket policies to allow only encrypted connections over HTTPS (TLS)..Configure default encryption for each S3 bucket to use server-side encryption with S3 managed. encryption keys (SSE-S3). Assign. the compliance team to manage the SSE-S3 keys.,Use the aws:SecureTransport condition on S3 bucket policies to allow only encrypted connections over HTTPS (TLS) Configure default encryption for each S3 bucket to use Server-side encryption with AWS KMS keys (SSE-KMS). Assign the compliance team to manage the KMS keys.,Create a public SSL/TLS certificate in AWS Certificate Manager (ACM). Associate the certificate with Amazon S3. Configure default encryption for each S3 bucket to use server-side encryption with AWS KMS keys (SSE-KMS). Assign the compliance team to manage the KMS keys.,Use the aws:SecureTransport condition on S3 bucket policies to allow only encrypted connections over HTTPs (TLS). Use Amazon Macie to protect the sensitive data that is stored in Amazon 'S3. Assign the compliance team to. manage Macie.,B,,
